ts,size,n,m,p,totaltime
1717079427797,2,100,100,100,800
1717079429799,2,100,100,100,801
1717079431745,2,100,100,100,803
1717079433689,2,100,100,100,876
1717079435708,2,100,100,100,799
1717079437652,2,100,100,100,805
1717079439844,2,100,100,100,803
1717079441793,2,100,100,100,802
1717079443748,2,100,100,100,1022
1717079445921,2,100,100,100,802
1717079447870,2,100,100,100,805
1717079449877,2,100,100,100,806
1717079451827,2,100,100,100,802
1717079453774,2,100,100,100,871
1717079455798,2,100,100,100,803
1717079457743,2,100,100,100,806
1717079461140,2,100,100,100,801
1717079463141,2,100,100,100,802
1717079465147,2,100,100,100,809
1717079467095,2,100,100,100,804
1717079469039,2,100,100,100,802
1717079471067,2,100,100,100,802
1717079473017,2,100,100,100,802
1717079475187,2,100,100,100,821
1717079477150,2,100,100,100,804
1717079479091,2,100,100,100,803
1717079481200,2,100,100,100,803
1717079483142,2,100,100,100,804
1717079485342,2,100,100,100,804
1717079487292,2,100,100,100,805
1717079489241,2,100,100,100,804
1717079491247,2,100,100,100,805
1717079493216,2,100,100,100,802
1717079495257,2,100,100,100,805
1717079497218,2,100,100,100,804
1717079499162,2,100,100,100,864
1717079501167,2,100,100,100,811
1717079503139,2,100,100,100,808
1717079505169,2,100,100,100,802
1717079507122,2,100,100,100,803
1717079509076,2,100,100,100,880
1717079511102,2,100,100,100,804
1717079513054,2,100,100,100,805
1717079515081,2,100,100,100,802
1717079517024,2,100,100,100,808
1717079518990,2,100,100,100,869
1717079521006,2,100,100,100,803
1717079522957,2,100,100,100,804
1717079524911,2,100,100,100,809
1717079526964,2,100,100,100,803
1717079528918,2,100,100,100,803
1717079530979,2,100,100,100,803
1717079532923,2,100,100,100,2287
1717079536353,2,100,100,100,806
1717079538307,2,100,100,100,808
1717079540361,2,100,100,100,803
1717079542313,2,100,100,100,805
1717079544262,2,100,100,100,895
1717079546312,2,100,100,100,805
1717079548262,2,100,100,100,806
1717079550208,2,100,100,100,807
1717079552258,2,100,100,100,807
1717079554218,2,100,100,100,805
1717079556272,2,100,100,100,803
1717079558219,2,100,100,100,800
1717079777385,3,100,100,100,693
1717079779369,3,100,100,100,564
1717079781289,3,100,100,100,601
1717079783185,3,100,100,100,599
1717079785201,3,100,100,100,517
1717079787013,3,100,100,100,519
1717079788821,3,100,100,100,570
1717079790733,3,100,100,100,604
1717079792629,3,100,100,100,570
1717079794477,3,100,100,100,757
1717079796521,3,100,100,100,645
1717079798449,3,100,100,100,599
1717079800405,3,100,100,100,650
1717079802341,3,100,100,100,615
1717079804229,3,100,100,100,648
1717079806161,3,100,100,100,520
1717079807993,3,100,100,100,614
1717079809897,3,100,100,100,856
1717079812029,3,100,100,100,603
1717079813937,3,100,100,100,797
1717079816677,3,100,100,100,650
1717079818613,3,100,100,100,565
1717079820549,3,100,100,100,603
1717079822433,3,100,100,100,565
1717079824305,3,100,100,100,604
1717079826325,3,100,100,100,566
1717079828169,3,100,100,100,606
1717079830053,3,100,100,100,757
1717079832089,3,100,100,100,561
1717079833961,3,100,100,100,609
1717079835933,3,100,100,100,556
1717079837789,3,100,100,100,616
1717079839689,3,100,100,100,566
1717079841649,3,100,100,100,655
1717079843597,3,100,100,100,609
1717079845489,3,100,100,100,645
1717079847713,3,100,100,100,603
1717079849621,3,100,100,100,652
1717079851613,3,100,100,100,669
1717079853565,3,100,100,100,608
1717079855501,3,100,100,100,1053
1717079857861,3,100,100,100,516
1717079859697,3,100,100,100,605
1717079861697,3,100,100,100,573
1717079863553,3,100,100,100,567
1717079865405,3,100,100,100,738
1717079867421,3,100,100,100,572
1717079869281,3,100,100,100,601
1717079871237,3,100,100,100,649
1717079873169,3,100,100,100,626
1717079875065,3,100,100,100,615
1717079877013,3,100,100,100,645
1717079878965,3,100,100,100,656
1717079880897,3,100,100,100,650
1717079882825,3,100,100,100,605
1717079884717,3,100,100,100,604
1717079886873,3,100,100,100,609
1717079888769,3,100,100,100,561
1717079890621,3,100,100,100,604
1717079892825,3,100,100,100,608
1717079894700,3,100,100,100,672
1717079896661,3,100,100,100,646
1717079898721,3,100,100,100,560
1717079900557,3,100,100,100,608
1717079902545,3,100,100,100,647
1717079904481,3,100,100,100,736
1717079906505,3,100,100,100,831
1717079908673,3,100,100,100,654
1717079910749,3,100,100,100,731
1717079912821,3,100,100,100,666
1717079914765,3,100,100,100,519
1717079916581,3,100,100,100,798
1717079918665,3,100,100,100,695
1717079920637,3,100,100,100,611
1717079922541,3,100,100,100,563
1717079924389,3,100,100,100,646
1717079926317,3,100,100,100,706
1717079928337,3,100,100,100,536
1717079930153,3,100,100,100,650
1717079932193,3,100,100,100,618
1717079934109,3,100,100,100,569
1717079935965,3,100,100,100,612
1717079937901,3,100,100,100,565
1717079939761,3,100,100,100,614
1717079941661,3,100,100,100,943
1717079943901,3,100,100,100,647
1717079945841,3,100,100,100,517
1717079947753,3,100,100,100,524
1717079949549,3,100,100,100,566
1717079951421,3,100,100,100,734
1717079953441,3,100,100,100,847
1717079955569,3,100,100,100,603
1717079957549,3,100,100,100,691
1717079959553,3,100,100,100,608
1717079961445,3,100,100,100,662
1717079963417,3,100,100,100,606
1717079965309,3,100,100,100,744
1717079967345,3,100,100,100,705
1717079969333,3,100,100,100,608
1717079971229,3,100,100,100,604
1717080315449,4,100,100,100,699
1717080317709,4,100,100,100,597
1717080319881,4,100,100,100,659
1717080322157,4,100,100,100,637
1717080324357,4,100,100,100,644
1717080326605,4,100,100,100,634
1717080328797,4,100,100,100,673
1717080331009,4,100,100,100,762
1717080333345,4,100,100,100,634
1717080335553,4,100,100,100,785
1717080337901,4,100,100,100,601
1717080340077,4,100,100,100,620
1717080342289,4,100,100,100,648
1717080344513,4,100,100,100,656
1717080346793,4,100,100,100,559
1717080349125,4,100,100,100,535
1717080351217,4,100,100,100,751
1717080353525,4,100,100,100,664
1717080355741,4,100,100,100,724
1717080358049,4,100,100,100,621
1717080360237,4,100,100,100,658
1717080362477,4,100,100,100,668
1717080364737,4,100,100,100,583
